,지역(1),지역(2),주택유형,매매가격,연도
426,제주특별자치도,제주특별자치도,종합,85.66389156,2012
427,전국,전국,아파트,90.52837081,2012
428,서울특별시,서울특별시,아파트,86.82946732,2012
429,서울특별시,종로구,아파트,92.6130999,2012
430,서울특별시,중구,아파트,90.99169537,2012
431,서울특별시,용산구,아파트,97.93102054,2012
432,서울특별시,성동구,아파트,85.64024163,2012
433,서울특별시,광진구,아파트,90.04588896,2012
434,서울특별시,동대문구,아파트,87.42457625,2012
435,서울특별시,중랑구,아파트,93.31741323,2012
436,서울특별시,성북구,아파트,92.38715308,2012
437,서울특별시,강북구,아파트,92.19126981,2012
438,서울특별시,도봉구,아파트,91.34161202,2012
439,서울특별시,노원구,아파트,85.77135886,2012
440,서울특별시,은평구,아파트,90.23658669,2012
441,서울특별시,서대문구,아파트,88.4541703,2012
442,서울특별시,마포구,아파트,87.65818758,2012
443,서울특별시,양천구,아파트,87.91426978,2012
444,서울특별시,강서구,아파트,84.47657095,2012
445,서울특별시,구로구,아파트,87.16500501,2012
446,서울특별시,금천구,아파트,87.94602639,2012
447,서울특별시,영등포구,아파트,87.42763581,2012
448,서울특별시,동작구,아파트,83.73740769,2012
449,서울특별시,관악구,아파트,85.39372285,2012
450,서울특별시,서초구,아파트,87.14510272,2012
451,서울특별시,강남구,아파트,80.07270538,2012
452,서울특별시,송파구,아파트,83.92233955,2012
453,서울특별시,강동구,아파트,82.653744,2012
454,경기도,경기도,아파트,89.86728863,2012
455,경기도,과천시,아파트,85.8112071,2012
456,경기도,안양시,아파트,85.62950422,2012
457,경기도,성남시,아파트,88.84988954,2012
458,경기도,군포시,아파트,87.48164491,2012
459,경기도,의왕시,아파트,87.04726359,2012
460,경기도,안성시,아파트,89.33806902,2012
461,경기도,용인시,아파트,95.89469462,2012
462,경기도,수원시,아파트,88.4221731,2012
463,경기도,부천시,아파트,90.70498878,2012
464,경기도,안산시,아파트,86.93216932,2012
465,경기도,시흥시,아파트,88.44015662,2012
466,경기도,광명시,아파트,76.92403305,2012
467,경기도,화성시,아파트,91.83219591,2012
468,경기도,오산시,아파트,97.04848304,2012
469,경기도,평택시,아파트,94.02564256,2012
470,경기도,남양주시,아파트,92.80009799,2012
471,경기도,구리시,아파트,90.06929836,2012
472,경기도,하남시,아파트,85.38843575,2012
473,경기도,광주시,아파트,95.65939022,2012
474,경기도,이천시,아파트,86.50245172,2012
475,경기도,여주시,아파트,92.46721693,2012
476,경기도,김포시,아파트,85.32385236,2012
477,경기도,고양시,아파트,86.51906691,2012
478,경기도,파주시,아파트,92.19255449,2012
479,경기도,포천시,아파트,92.81986574,2012
480,경기도,동두천시,아파트,99.89535115,2012
481,경기도,양주시,아파트,95.62889221,2012
482,경기도,의정부시,아파트,95.19070468,2012
483,인천광역시,인천광역시,아파트,89.81561997,2012
484,부산광역시,부산광역시,아파트,88.71499449,2012
485,대구광역시,대구광역시,아파트,78.3629028,2012
486,광주광역시,광주광역시,아파트,89.25514959,2012
487,대전광역시,대전광역시,아파트,97.1938972,2012
488,울산광역시,울산광역시,아파트,93.73435405,2012
489,세종특별자치시,세종특별자치시,아파트,91.71267039,2012
490,강원도,강원도,아파트,91.95832508,2012
491,충청북도,충청북도,아파트,96.16272805,2012
492,충청남도,충청남도,아파트,96.32251055,2012
493,전라북도,전라북도,아파트,100.6464187,2012
494,전라남도,전라남도,아파트,99.57496942,2012
495,경상북도,경상북도,아파트,89.77701382,2012
496,경상남도,경상남도,아파트,99.67763334,2012
497,제주특별자치도,제주특별자치도,아파트,79.40742145,2012
498,전국,전국,연립다세대,97.84355968,2012
499,서울특별시,서울특별시,연립다세대,97.90137262,2012
500,경기도,경기도,연립다세대,99.441524,2012
501,인천광역시,인천광역시,연립다세대,101.855543,2012
502,부산광역시,부산광역시,연립다세대,96.56789508,2012
503,대구광역시,대구광역시,연립다세대,89.02089438,2012
504,경기도,광주시,연립다세대,95.03624266,2012
505,대전광역시,대전광역시,연립다세대,96.63057482,2012
506,울산광역시,울산광역시,연립다세대,94.51868563,2012
507,세종특별자치시,세종특별자치시,연립다세대,88.82319031,2012
508,강원도,강원도,연립다세대,95.52351539,2012
509,충청북도,충청북도,연립다세대,96.00122611,2012
510,충청남도,충청남도,연립다세대,96.65866711,2012
511,전라북도,전라북도,연립다세대,97.76772555,2012
512,전라남도,전라남도,연립다세대,94.35867422,2012
513,경상북도,경상북도,연립다세대,91.82341768,2012
514,경상남도,경상남도,연립다세대,99.58301125,2012
515,제주특별자치도,제주특별자치도,연립다세대,89.6604127,2012
516,전국,전국,단독주택,95.22091488,2012
517,서울특별시,서울특별시,단독주택,94.17859111,2012
518,경기도,경기도,단독주택,97.35345438,2012
519,인천광역시,인천광역시,단독주택,99.66963689,2012
520,부산광역시,부산광역시,단독주택,92.56850514,2012
521,대구광역시,대구광역시,단독주택,89.80117988,2012
522,광주광역시,광주광역시,단독주택,96.69762012,2012
523,대전광역시,대전광역시,단독주택,96.81417438,2012
524,울산광역시,울산광역시,단독주택,95.11522177,2012
525,세종특별자치시,세종특별자치시,단독주택,90.17231707,2012
526,강원도,강원도,단독주택,96.281462,2012
527,충청북도,충청북도,단독주택,96.50427485,2012
528,충청남도,충청남도,단독주택,96.42473143,2012
529,전라북도,전라북도,단독주택,97.92909555,2012
